Unique Users,User Type,Cycles
hd2159,Student,8
jh6181,Others,1
ld2574,Student,1
jk6228,Student,6
gf54,Faculty,3
kw2223,Others,1
jw7345,Student,3
cx592,Others,1
yl5728,Others,1
ecs555,Student,1
eld9958,Student,4
jl8566,Student,1
zq2080,Student,2
bmk11,Faculty,5
fs2328,Others,1
vro2005,Others,1
jb6613,Student,1
yf2147,Student,1
ly2050,Others,4
yy4108,Student,8
fl780,Faculty,6
jx2135,Student,1
jf4268,Student,9
sk8918,Student,1
yl8152,Student,1
zd2142,Others,1
tc3360,Others,1
jf4500,Student,1
zc18,Staff,1
xh678,IT,2
qm2049,Others,2
yz45,Staff,9
zl39,Staff,4
bs4477,Others,3
klc605,Student,6
tz8,Staff,4
xl4190,Student,1
yw6167,Student,5
jc10400,Student,1
yc5519,Student,2
yt2190,Student,1
dp949,Staff,10
wb48,Staff,1
eio1,IT,3
xl2567,Others,2
xl2831,Others,3
vl2117,Student,4
jl10338,Staff,4
jy39,Faculty,20
sy53,Staff,1
zz4609,Staff,6
sx2170,Staff,12
dc150,Staff,7
ncb9094,Student,6
aa7676,Staff,4
yl1135,Faculty,3
pbm7,Faculty,4
xg4,Staff,4
qz775,IT,10
yz74,Staff,21
hf58,Others,1
xx9,Staff,4
jl6861,Staff,1
sd140,Staff,7
wl2865,Others,1
fy2173,Staff,4
jz86,Staff,1
yz6201,Student,1
lm167,Faculty,1
jw8140,Student,2
cw3715,Faculty,10
tq363,IT,1
yz55,Staff,4
hg1593,Student,15
jg5611,Staff,3
sh2995,Staff,61
xw35,Staff,2
wl3042,Others,1
tx561,Student,1
ls6200,Others,1
xw3146,Staff,2
cg157,Faculty,1
qz2,Faculty,4
lc3913,Others,1
jm5518,Staff,8
jof230,Student,1
cw1681,Student,1
jy3845,Student,8
yg2437,Student,1
gmb367,Others,1
tz11,Staff,2
yh1694,Staff,2
jp3980,Staff,4
hl4745,Staff,7
yz4510,Staff,1
jy56,Staff,2
xd7,Staff,1
gc2377,Staff,16
ry13,Staff,2
yc79,Staff,2
cc8029,Faculty,1
jz5213,Student,1
xs7,Faculty,1
xs10,Others,4
lx2127,Staff,1
jb8307,IT,3
zw2375,Student,4
yw7262,Staff,2
hy2253,Staff,13
yx2552,Staff,9
gl2498,Faculty,1
yz8297,Student,4
zs2389,Student,5
